所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
21-30分,26分,乗換1回,麹町,139.737613,35.684006,東京メトロ,有楽町線,賃貸マンション,1K,16.15
21-30分,27分,乗換1回,豊洲,139.79621,35.654908,東京メトロ,有楽町線,賃貸マンション,1K,13.2
21-30分,29分,乗換1回,辰巳,139.81052,35.645576,東京メトロ,有楽町線,賃貸マンション,1K,13.49
21-30分,21分,乗換1回,御茶ノ水,139.764955,35.699605,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1K,12.98
21-30分,24分,乗換1回,水道橋,139.754312,35.702039,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1K,14.04
21-30分,26分,乗換1回,四ツ谷,139.730644,35.686041,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1K,14.29
21-30分,26分,乗換1回,飯田橋,139.745143,35.701835,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1K,13.86
21-30分,30分,乗換1回,信濃町,139.720729,35.680031,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1K,15.22
21-30分,30分,乗換1回,大久保,139.69732,35.700784,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1K,13.34
21-30分,21分,乗換1回,西大井,139.721729,35.601616,ＪＲ,横須賀線,賃貸マンション,1K,12.11
21-30分,26分,乗換1回,武蔵小杉,139.65963,35.57669,ＪＲ,横須賀線,賃貸マンション,1K,11.09
21-30分,29分,乗換1回,新川崎,139.671481,35.551784,ＪＲ,横須賀線,賃貸マンション,1K,8.9
21-30分,21分,乗換0回,西馬込,139.705942,35.586859,都営,浅草線,賃貸マンション,1K,11.38
21-30分,22分,乗換0回,人形町,139.782285,35.686307,都営,浅草線,賃貸マンション,1K,14.24
21-30分,24分,乗換0回,東日本橋,139.784821,35.692126,都営,浅草線,賃貸マンション,1K,14.7
21-30分,27分,乗換0回,蔵前,139.790931,35.703236,都営,浅草線,賃貸マンション,1K,12.26
21-30分,30分,乗換0回,本所吾妻橋,139.804624,35.70858,都営,浅草線,賃貸マンション,1K,11.92
21-30分,21分,乗換0回,代々木,139.702042,35.683061,ＪＲ,山手線,賃貸マンション,1K,13.72
21-30分,22分,乗換0回,鶯谷,139.778015,35.721484,ＪＲ,山手線,賃貸マンション,1K,10.56
21-30分,23分,乗換0回,新宿,139.700464,35.689729,ＪＲ,山手線,賃貸マンション,1K,14.79
21-30分,24分,乗換0回,日暮里,139.771287,35.727908,ＪＲ,山手線,賃貸マンション,1K,10.23
21-30分,25分,乗換0回,新大久保,139.700261,35.700875,ＪＲ,山手線,賃貸マンション,1K,13.02
