所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
21-30分,27分,乗換0回,蔵前,139.790931,35.703236,都営,浅草線,賃貸マンション,1DK,14.51
21-30分,30分,乗換0回,本所吾妻橋,139.804624,35.70858,都営,浅草線,賃貸マンション,1DK,12.63
21-30分,21分,乗換0回,代々木,139.702042,35.683061,ＪＲ,山手線,賃貸マンション,1DK,18.2
21-30分,22分,乗換0回,鶯谷,139.778015,35.721484,ＪＲ,山手線,賃貸マンション,1DK,13.64
21-30分,23分,乗換0回,新宿,139.700464,35.689729,ＪＲ,山手線,賃貸マンション,1DK,24.0
21-30分,24分,乗換0回,日暮里,139.771287,35.727908,ＪＲ,山手線,賃貸マンション,1DK,13.5
21-30分,25分,乗換0回,新大久保,139.700261,35.700875,ＪＲ,山手線,賃貸マンション,1DK,12.97
21-30分,25分,乗換0回,西日暮里,139.766857,35.731954,ＪＲ,山手線,賃貸マンション,1DK,14.28
21-30分,27分,乗換0回,高田馬場,139.703715,35.712677,ＪＲ,山手線,賃貸マンション,1DK,16.18
21-30分,29分,乗換0回,駒込,139.748053,35.736825,ＪＲ,山手線,賃貸マンション,1DK,15.14
21-30分,29分,乗換0回,目白,139.706228,35.720476,ＪＲ,山手線,賃貸マンション,1DK,15.28
21-30分,21分,乗換1回,立会川,139.738886,35.598489,京急,本線,賃貸マンション,1DK,15.23
21-30分,23分,乗換1回,大森海岸,139.73544,35.587576,京急,本線,賃貸マンション,1DK,13.07
21-30分,23分,乗換1回,平和島,139.73491,35.57868,京急,本線,賃貸マンション,1DK,14.1
21-30分,24分,乗換1回,京急蒲田,139.723681,35.560796,京急,本線,賃貸マンション,1DK,14.7
21-30分,28分,乗換1回,大森町,139.732027,35.572431,京急,本線,賃貸マンション,1DK,11.1
21-30分,29分,乗換1回,梅屋敷,139.728266,35.566873,京急,本線,賃貸マンション,1DK,11.63
21-30分,21分,乗換1回,麻布十番,139.737051,35.654682,都営,大江戸線（環状部）,賃貸マンション,1DK,19.2
21-30分,22分,乗換1回,勝どき,139.776442,35.658507,都営,大江戸線（環状部）,賃貸マンション,1DK,15.33
21-30分,23分,乗換1回,六本木,139.731443,35.662836,都営,大江戸線（環状部）,賃貸マンション,1DK,22.3
21-30分,24分,乗換1回,月島,139.784233,35.664871,都営,大江戸線（環状部）,賃貸マンション,1DK,15.7
21-30分,26分,乗換1回,門前仲町,139.796209,35.671851,都営,大江戸線（環状部）,賃貸マンション,1DK,14.62
21-30分,27分,乗換1回,国立競技場,139.714932,35.679831,都営,大江戸線（環状部）,賃貸マンション,1DK,19.64
21-30分,28分,乗換1回,新御徒町,139.781958,35.707045,都営,大江戸線（環状部）,賃貸マンション,1DK,14.3
21-30分,29分,乗換1回,清澄白河,139.798851,35.682105,都営,大江戸線（環状部）,賃貸マンション,1DK,14.16
21-30分,30分,乗換1回,森下,139.797042,35.68796,都営,大江戸線（環状部）,賃貸マンション,1DK,13.73
21-30分,21分,乗換1回,天王洲アイル,139.750675,35.622908,不明,りんかい線,賃貸マンション,1DK,13.6
21-30分,22分,乗換1回,築地,139.772603,35.668115,東京メトロ,日比谷線,賃貸マンション,1DK,16.01
21-30分,23分,乗換1回,中目黒,139.698621,35.643854,東京メトロ,日比谷線,賃貸マンション,1DK,19.96
21-30分,24分,乗換1回,広尾,139.722202,35.652279,東京メトロ,日比谷線,賃貸マンション,1DK,25.55
21-30分,24分,乗換1回,八丁堀,139.777705,35.674617,東京メトロ,日比谷線,賃貸マンション,1DK,16.39
21-30分,27分,乗換1回,小伝馬町,139.778433,35.690737,東京メトロ,日比谷線,賃貸マンション,1DK,16.37
21-30分,28分,乗換1回,入谷,139.783924,35.719862,東京メトロ,日比谷線,賃貸マンション,1DK,13.12
21-30分,30分,乗換1回,三ノ輪,139.791485,35.729623,東京メトロ,日比谷線,賃貸マンション,1DK,12.99
21-30分,22分,乗換1回,神保町,139.757606,35.695966,都営,三田線,賃貸マンション,1DK,18.01
21-30分,26分,乗換1回,春日,139.75325,35.709598,都営,三田線,賃貸マンション,1DK,13.2
21-30分,30分,乗換1回,千石,139.744792,35.727957,都営,三田線,賃貸マンション,1DK,11.62
21-30分,24分,乗換1回,稲荷町,139.782593,35.711273,東京メトロ,銀座線,賃貸マンション,1DK,15.65
21-30分,24分,乗換1回,外苑前,139.717857,35.670527,東京メトロ,銀座線,賃貸マンション,1DK,18.56
21-30分,24分,乗換1回,表参道,139.712314,35.665247,東京メトロ,銀座線,賃貸マンション,1DK,19.73
21-30分,25分,乗換1回,田原町,139.790897,35.709897,東京メトロ,銀座線,賃貸マンション,1DK,14.55
21-30分,27分,乗換1回,浅草,139.798214,35.711883,東京メトロ,銀座線,賃貸マンション,1DK,13.1
21-30分,22分,乗換1回,浅草橋,139.784427,35.697403,ＪＲ,総武線各停（御茶ノ水-錦糸町）,賃貸マンション,1DK,14.77
21-30分,23分,乗換1回,両国,139.793334,35.69579,ＪＲ,総武線各停（御茶ノ水-錦糸町）,賃貸マンション,1DK,14.48
21-30分,26分,乗換1回,錦糸町,139.814136,35.696802,ＪＲ,総武線各停（御茶ノ水-錦糸町）,賃貸マンション,1DK,13.78
21-30分,22分,乗換1回,淡路町,139.7675149,35.6953595,東京メトロ,丸ノ内線,賃貸マンション,1DK,18.2
21-30分,26分,乗換1回,本郷三丁目,139.759914,35.706671,東京メトロ,丸ノ内線,賃貸マンション,1DK,16.77
21-30分,27分,乗換1回,後楽園,139.751864,35.707898,東京メトロ,丸ノ内線,賃貸マンション,1DK,15.45
21-30分,28分,乗換2回,四谷三丁目,139.720103,35.687958,東京メトロ,丸ノ内線,賃貸マンション,1DK,17.64
21-30分,30分,乗換2回,新宿御苑前,139.71069,35.688588,東京メトロ,丸ノ内線,賃貸マンション,1DK,19.96
21-30分,30分,乗換1回,茗荷谷,139.737184,35.716989,東京メトロ,丸ノ内線,賃貸マンション,1DK,13.81
21-30分,22分,乗換0回,鶴見,139.67614,35.508387,ＪＲ,京浜東北線,賃貸マンション,1DK,12.72
21-30分,23分,乗換0回,田端,139.761229,35.737781,ＪＲ,京浜東北線,賃貸マンション,1DK,13.15
21-30分,28分,乗換0回,王子,139.73809,35.752538,ＪＲ,京浜東北線,賃貸マンション,1DK,14.11
21-30分,29分,乗換0回,東神奈川,139.633466,35.47804,ＪＲ,京浜東北線,賃貸マンション,1DK,12.8
21-30分,22分,乗換1回,日の出,139.75906,35.649136,不明,ゆりかもめ,賃貸マンション,1DK,21.3
21-30分,22分,乗換1回,武蔵小山,139.704524,35.620538,東急,目黒線,賃貸マンション,1DK,13.88
