所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
21-30分,28分,乗換1回,糀谷,139.72962,35.5545,京急,空港線,賃貸アパート,1LDK,12.2
21-30分,30分,乗換1回,大鳥居,139.739356,35.552531,京急,空港線,賃貸アパート,1LDK,15.9
21-30分,30分,乗換2回,祐天寺,139.690758,35.637163,東急,東横線,賃貸アパート,1LDK,17.3
31-40分,31分,乗換0回,横浜,139.622704,35.466195,ＪＲ,京浜東北線,賃貸アパート,1LDK,9.8
31-40分,31分,乗換0回,東十条,139.726858,35.763803,ＪＲ,京浜東北線,賃貸アパート,1LDK,12.5
31-40分,34分,乗換0回,赤羽,139.720928,35.778026,ＪＲ,京浜東北線,賃貸アパート,1LDK,13.95
31-40分,38分,乗換0回,川口,139.717472,35.801869,ＪＲ,京浜東北線,賃貸アパート,1LDK,10.67
31-40分,31分,乗換1回,下北沢,139.66691,35.661539,京王,井の頭線,賃貸アパート,1LDK,24.0
31-40分,34分,乗換1回,東松原,139.655535,35.662634,京王,井の頭線,賃貸アパート,1LDK,15.74
31-40分,38分,乗換1回,永福町,139.642733,35.67629,京王,井の頭線,賃貸アパート,1LDK,15.0
31-40分,31分,乗換2回,学芸大学,139.68522,35.628786,東急,東横線,賃貸アパート,1LDK,14.57
31-40分,31分,乗換1回,穴守稲荷,139.746669,35.550326,京急,空港線,賃貸アパート,1LDK,13.8
31-40分,31分,乗換1回,新三河島,139.773834,35.73714,京成,本線,賃貸アパート,1LDK,14.77
31-40分,32分,乗換1回,町屋,139.781499,35.742354,京成,本線,賃貸アパート,1LDK,12.16
31-40分,35分,乗換1回,千住大橋,139.796934,35.74243,京成,本線,賃貸アパート,1LDK,13.4
31-40分,39分,乗換1回,堀切菖蒲園,139.827545,35.747649,京成,本線,賃貸アパート,1LDK,12.76
31-40分,40分,乗換1回,お花茶屋,139.83988,35.747585,京成,本線,賃貸アパート,1LDK,9.72
31-40分,32分,乗換1回,新大塚,139.729971,35.72569,東京メトロ,丸ノ内線,賃貸アパート,1LDK,13.95
31-40分,36分,乗換1回,新中野,139.66903,35.697491,東京メトロ,丸ノ内線,賃貸アパート,1LDK,14.0
31-40分,37分,乗換1回,東高円寺,139.657822,35.697802,東京メトロ,丸ノ内線,賃貸アパート,1LDK,13.8
31-40分,31分,乗換0回,池袋,139.711086,35.730256,ＪＲ,山手線,賃貸アパート,1LDK,16.9
31-40分,33分,乗換0回,大塚,139.728584,35.731412,ＪＲ,山手線,賃貸アパート,1LDK,13.77
31-40分,38分,乗換1回,葛西,139.872458,35.663554,東京メトロ,東西線,賃貸アパート,1LDK,12.8
31-40分,31分,乗換1回,尾久,139.753846,35.74683,ＪＲ,宇都宮線〔東北本線〕・ＪＲ上野東京ライン,賃貸アパート,1LDK,11.0
31-40分,31分,乗換1回,尾山台,139.653862,35.606971,東急,大井町線,賃貸アパート,1LDK,14.2
31-40分,33分,乗換1回,等々力,139.647938,35.608369,東急,大井町線,賃貸アパート,1LDK,14.65
31-40分,38分,乗換1回,溝の口,139.610487,35.59984,東急,大井町線,賃貸アパート,1LDK,12.92
31-40分,39分,乗換1回,二子新地,139.622338,35.606994,東急,大井町線,賃貸アパート,1LDK,13.22
31-40分,34分,乗換1回,東門前,139.734298,35.536566,京急,大師線,賃貸アパート,1LDK,11.68
31-40分,38分,乗換1回,小島新田,139.747575,35.534798,京急,大師線,賃貸アパート,1LDK,11.08
31-40分,32分,乗換0回,押上,139.812935,35.710702,都営,浅草線,賃貸アパート,1LDK,14.0
31-40分,34分,乗換2回,曙橋,139.722881,35.692402,都営,新宿線,賃貸アパート,1LDK,18.8
31-40分,32分,乗換1回,雑色,139.715005,35.549725,京急,本線,賃貸アパート,1LDK,11.35
31-40分,32分,乗換1回,鶴見市場,139.68642,35.517594,京急,本線,賃貸アパート,1LDK,13.25
31-40分,33分,乗換1回,花月総持寺,139.672813,35.500358,京急,本線,賃貸アパート,1LDK,13.3
31-40分,35分,乗換1回,生麦,139.6673,35.4956,京急,本線,賃貸アパート,1LDK,9.86
31-40分,32分,乗換1回,鹿島田,139.674964,35.551459,ＪＲ,南武線（川崎-立川）,賃貸アパート,1LDK,12.35
31-40分,34分,乗換1回,平間,139.671039,35.560565,ＪＲ,南武線（川崎-立川）,賃貸アパート,1LDK,12.18
31-40分,40分,乗換1回,武蔵中原,139.640613,35.581498,ＪＲ,南武線（川崎-立川）,賃貸アパート,1LDK,11.38
31-40分,32分,乗換1回,千駄木,139.763243,35.725549,東京メトロ,千代田線,賃貸アパート,1LDK,15.23
31-40分,33分,乗換1回,町屋,139.781499,35.742354,東京メトロ,千代田線,賃貸アパート,1LDK,12.16
31-40分,32分,乗換1回,中野,139.665835,35.705765,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1LDK,14.6
31-40分,32分,乗換1回,東中野,139.684436,35.706529,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1LDK,17.08
31-40分,34分,乗換1回,高円寺,139.649664,35.705326,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1LDK,14.75
31-40分,38分,乗換1回,荻窪,139.620109,35.704523,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1LDK,16.58
31-40分,35分,乗換1回,北千住,139.804872,35.749677,東京メトロ,日比谷線,賃貸アパート,1LDK,10.46
31-40分,38分,乗換1回,西早稲田,139.709101,35.708242,東京メトロ,副都心線,賃貸アパート,1LDK,14.8
31-40分,40分,乗換1回,雑司が谷,139.714795,35.720233,東京メトロ,副都心線,賃貸アパート,1LDK,13.7
31-40分,35分,乗換1回,護国寺,139.72754,35.719044,東京メトロ,有楽町線,賃貸アパート,1LDK,17.83
31-40分,33分,乗換1回,桜新町,139.644779,35.631666,東急,田園都市線,賃貸アパート,1LDK,14.27
31-40分,35分,乗換1回,用賀,139.633928,35.626436,東急,田園都市線,賃貸アパート,1LDK,14.5
31-40分,33分,乗換1回,三河島,139.777131,35.733383,ＪＲ,常磐線,賃貸アパート,1LDK,17.64
31-40分,33分,乗換1回,新小岩,139.857777,35.716903,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1LDK,13.0
31-40分,36分,乗換1回,小岩,139.881755,35.733207,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1LDK,10.04
31-40分,39分,乗換1回,市川,139.908142,35.728903,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1LDK,11.81
31-40分,34分,乗換1回,南新宿,139.69867,35.683483,不明,小田急小田原線,賃貸アパート,1LDK,16.6
31-40分,35分,乗換1回,参宮橋,139.693568,35.678586,不明,小田急小田原線,賃貸アパート,1LDK,16.27
31-40分,36分,乗換1回,世田谷代田,139.661557,35.65834,不明,小田急小田原線,賃貸アパート,1LDK,17.2
31-40分,39分,乗換1回,豪徳寺,139.647381,35.653807,不明,小田急小田原線,賃貸アパート,1LDK,13.8
31-40分,36分,乗換1回,滝野川一丁目,139.735376,35.747374,不明,都電荒川線,賃貸アパート,1LDK,13.2
31-40分,39分,乗換1回,荒川遊園地前,139.757767,35.750744,不明,都電荒川線,賃貸アパート,1LDK,11.0
31-40分,36分,乗換0回,八広,139.828738,35.727687,京成,押上線,賃貸アパート,1LDK,11.46
31-40分,37分,乗換0回,四ツ木,139.834918,35.731962,京成,押上線,賃貸アパート,1LDK,11.56
31-40分,40分,乗換0回,山手,139.646425,35.426891,ＪＲ,根岸線,賃貸アパート,1LDK,11.37
31-40分,34分,乗換1回,新丸子,139.661964,35.58049,東急,目黒線,賃貸アパート,1LDK,21.35
31-40分,37分,乗換1回,元住吉,139.654668,35.565698,東急,目黒線,賃貸アパート,1LDK,12.85
31-40分,39分,乗換1回,日吉,139.646944,35.5539,東急,目黒線,賃貸アパート,1LDK,13.82
31-40分,36分,乗換1回,新板橋,139.720101,35.748785,都営,三田線,賃貸アパート,1LDK,13.16
31-40分,38分,乗換1回,板橋区役所前,139.710102,35.751284,都営,三田線,賃貸アパート,1LDK,15.0
31-40分,40分,乗換1回,板橋本町,139.705535,35.761339,都営,三田線,賃貸アパート,1LDK,15.5
31-40分,36分,乗換1回,下落合,139.695391,35.715846,西武,新宿線,賃貸アパート,1LDK,17.5
31-40分,37分,乗換1回,中井,139.686967,35.715106,西武,新宿線,賃貸アパート,1LDK,16.4
31-40分,39分,乗換1回,新井薬師前,139.672582,35.715778,西武,新宿線,賃貸アパート,1LDK,14.05
31-40分,36分,乗換1回,初台,139.686354,35.68123,京王,新線,賃貸アパート,1LDK,16.83
31-40分,37分,乗換1回,幡ヶ谷,139.676183,35.677061,京王,新線,賃貸アパート,1LDK,14.43
31-40分,36分,乗換1回,西新宿五丁目,139.684304,35.689798,都営,大江戸線（放射部）,賃貸アパート,1LDK,16.18
31-40分,36分,乗換2回,東大前,139.758025,35.717633,東京メトロ,南北線,賃貸アパート,1LDK,12.6
31-40分,37分,乗換1回,王子神谷,139.735933,35.765172,東京メトロ,南北線,賃貸アパート,1LDK,12.57
31-40分,37分,乗換1回,熊野前,139.769204,35.749212,都営,日暮里・舎人ライナー,賃貸アパート,1LDK,12.77
31-40分,37分,乗換1回,笹塚,139.667251,35.673758,京王,線,賃貸アパート,1LDK,15.45
31-40分,38分,乗換1回,代田橋,139.659413,35.671092,京王,線,賃貸アパート,1LDK,14.64
31-40分,37分,乗換2回,西太子堂,139.666382,35.644545,東急,世田谷線,賃貸アパート,1LDK,17.0
31-40分,39分,乗換1回,北池袋,139.716749,35.741283,東武,東上線,賃貸アパート,1LDK,12.78
31-40分,40分,乗換1回,板橋,139.719507,35.745435,ＪＲ,埼京線,賃貸アパート,1LDK,12.77
41-50分,41分,乗換1回,綾瀬,139.825019,35.762222,東京メトロ,千代田線,賃貸アパート,1LDK,11.69
41-50分,41分,乗換1回,浦安,139.893193,35.665932,東京メトロ,東西線,賃貸アパート,1LDK,14.0
41-50分,42分,乗換1回,南行徳,139.902311,35.672687,東京メトロ,東西線,賃貸アパート,1LDK,11.22
41-50分,45分,乗換1回,行徳,139.914254,35.682686,東京メトロ,東西線,賃貸アパート,1LDK,11.82
41-50分,48分,乗換1回,妙典,139.924209,35.690935,東京メトロ,東西線,賃貸アパート,1LDK,11.19
41-50分,50分,乗換1回,原木中山,139.942029,35.703517,東京メトロ,東西線,賃貸アパート,1LDK,9.33
41-50分,41分,乗換0回,京成高砂,139.866875,35.750932,京成,本線,賃貸アパート,1LDK,12.95
41-50分,43分,乗換0回,京成小岩,139.88371,35.742158,京成,本線,賃貸アパート,1LDK,11.72
41-50分,41分,乗換1回,高津,139.616934,35.603248,東急,大井町線,賃貸アパート,1LDK,13.06
41-50分,41分,乗換2回,小村井,139.827595,35.710316,東武,亀戸線,賃貸アパート,1LDK,11.8
41-50分,41分,乗換2回,松陰神社前,139.655211,35.643947,東急,世田谷線,賃貸アパート,1LDK,14.9
41-50分,42分,乗換2回,世田谷,139.650945,35.643564,東急,世田谷線,賃貸アパート,1LDK,14.8
41-50分,43分,乗換2回,上町,139.646276,35.643656,東急,世田谷線,賃貸アパート,1LDK,14.52
41-50分,45分,乗換2回,松原,139.642,35.660048,東急,世田谷線,賃貸アパート,1LDK,14.0
41-50分,50分,乗換1回,井の頭公園,139.583112,35.697304,京王,井の頭線,賃貸アパート,1LDK,13.9
41-50分,41分,乗換1回,西荻窪,139.599361,35.703842,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1LDK,15.14
41-50分,43分,乗換1回,吉祥寺,139.579765,35.703119,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1LDK,16.4
41-50分,46分,乗換1回,三鷹,139.560325,35.702683,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1LDK,13.8
41-50分,48分,乗換1回,武蔵境,139.543402,35.702083,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1LDK,17.9
41-50分,50分,乗換1回,東小金井,139.524837,35.701643,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1LDK,13.92
41-50分,41分,乗換0回,西川口,139.704312,35.815514,ＪＲ,京浜東北線,賃貸アパート,1LDK,10.55
41-50分,43分,乗換0回,蕨,139.690357,35.827959,ＪＲ,京浜東北線,賃貸アパート,1LDK,11.38
41-50分,47分,乗換0回,南浦和,139.669125,35.847648,ＪＲ,京浜東北線,賃貸アパート,1LDK,11.24
41-50分,41分,乗換1回,本八幡,139.92741,35.720898,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1LDK,10.8
41-50分,45分,乗換1回,船橋,139.984707,35.701865,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1LDK,11.1
41-50分,46分,乗換1回,西船橋,139.959536,35.707283,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1LDK,11.95
41-50分,49分,乗換1回,津田沼,140.020179,35.691367,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1LDK,12.22
41-50分,45分,乗換1回,志村三丁目,139.685937,35.777391,都営,三田線,賃貸アパート,1LDK,12.91
41-50分,49分,乗換1回,西台,139.673971,35.78699,都営,三田線,賃貸アパート,1LDK,11.0
41-50分,41分,乗換1回,要町,139.698715,35.73323,東京メトロ,有楽町線,賃貸アパート,1LDK,13.9
41-50分,47分,乗換1回,氷川台,139.665567,35.74955,東京メトロ,有楽町線,賃貸アパート,1LDK,13.28
41-50分,49分,乗換1回,平和台,139.653762,35.757863,東京メトロ,有楽町線,賃貸アパート,1LDK,12.39
