所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
21-30分,28分,乗換1回,亀戸,139.826262,35.697345,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1K,6.5
21-30分,30分,乗換1回,平井,139.842181,35.70643,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1K,7.44
21-30分,25分,乗換1回,矢口渡,139.700389,35.562462,東急,多摩川線,賃貸アパート,1K,7.75
21-30分,28分,乗換1回,下丸子,139.685576,35.571397,東急,多摩川線,賃貸アパート,1K,8.96
21-30分,26分,乗換1回,池尻大橋,139.684319,35.650603,東急,田園都市線,賃貸アパート,1K,11.77
21-30分,28分,乗換1回,三軒茶屋,139.670156,35.643716,東急,田園都市線,賃貸アパート,1K,9.83
21-30分,30分,乗換1回,駒沢大学,139.661702,35.633471,東急,田園都市線,賃貸アパート,1K,9.85
21-30分,28分,乗換1回,代々木上原,139.680153,35.669159,東京メトロ,千代田線,賃貸アパート,1K,9.45
21-30分,28分,乗換1回,尻手,139.684233,35.530939,ＪＲ,南武線（川崎-立川）,賃貸アパート,1K,8.06
21-30分,30分,乗換1回,矢向,139.68055,35.539408,ＪＲ,南武線（川崎-立川）,賃貸アパート,1K,8.0
21-30分,30分,乗換1回,港町,139.712578,35.535014,京急,大師線,賃貸アパート,1K,7.95
21-30分,30分,乗換2回,祐天寺,139.690758,35.637163,東急,東横線,賃貸アパート,1K,10.2
31-40分,31分,乗換0回,横浜,139.622704,35.466195,ＪＲ,京浜東北線,賃貸アパート,1K,8.7
31-40分,31分,乗換0回,東十条,139.726858,35.763803,ＪＲ,京浜東北線,賃貸アパート,1K,8.79
31-40分,34分,乗換0回,赤羽,139.720928,35.778026,ＪＲ,京浜東北線,賃貸アパート,1K,7.81
31-40分,38分,乗換0回,川口,139.717472,35.801869,ＪＲ,京浜東北線,賃貸アパート,1K,7.87
31-40分,31分,乗換1回,下北沢,139.66691,35.661539,京王,井の頭線,賃貸アパート,1K,11.0
31-40分,34分,乗換1回,東松原,139.655535,35.662634,京王,井の頭線,賃貸アパート,1K,9.17
31-40分,35分,乗換1回,明大前,139.650352,35.668758,京王,井の頭線,賃貸アパート,1K,9.23
31-40分,31分,乗換2回,学芸大学,139.68522,35.628786,東急,東横線,賃貸アパート,1K,12.5
31-40分,31分,乗換1回,穴守稲荷,139.746669,35.550326,京急,空港線,賃貸アパート,1K,8.72
31-40分,33分,乗換1回,天空橋,139.75423,35.548908,京急,空港線,賃貸アパート,1K,8.4
31-40分,31分,乗換1回,沼部,139.67326,35.582526,東急,多摩川線,賃貸アパート,1K,7.5
31-40分,32分,乗換1回,多摩川,139.668723,35.589591,東急,多摩川線,賃貸アパート,1K,8.1
31-40分,31分,乗換1回,新三河島,139.773834,35.73714,京成,本線,賃貸アパート,1K,9.27
31-40分,32分,乗換1回,町屋,139.781499,35.742354,京成,本線,賃貸アパート,1K,8.1
31-40分,35分,乗換1回,千住大橋,139.796934,35.74243,京成,本線,賃貸アパート,1K,7.52
31-40分,39分,乗換1回,堀切菖蒲園,139.827545,35.747649,京成,本線,賃貸アパート,1K,6.81
31-40分,40分,乗換1回,お花茶屋,139.83988,35.747585,京成,本線,賃貸アパート,1K,7.17
31-40分,32分,乗換1回,新大塚,139.729971,35.72569,東京メトロ,丸ノ内線,賃貸アパート,1K,9.8
31-40分,32分,乗換1回,西新宿,139.692778,35.694298,東京メトロ,丸ノ内線,賃貸アパート,1K,14.26
31-40分,34分,乗換1回,中野坂上,139.68291,35.69792,東京メトロ,丸ノ内線,賃貸アパート,1K,10.78
31-40分,36分,乗換1回,新中野,139.66903,35.697491,東京メトロ,丸ノ内線,賃貸アパート,1K,8.5
31-40分,37分,乗換1回,東高円寺,139.657822,35.697802,東京メトロ,丸ノ内線,賃貸アパート,1K,8.55
31-40分,39分,乗換1回,新高円寺,139.648068,35.697985,東京メトロ,丸ノ内線,賃貸アパート,1K,9.5
31-40分,31分,乗換0回,池袋,139.711086,35.730256,ＪＲ,山手線,賃貸アパート,1K,8.8
31-40分,33分,乗換0回,大塚,139.728584,35.731412,ＪＲ,山手線,賃貸アパート,1K,9.8
31-40分,32分,乗換1回,早稲田,139.721319,35.705723,東京メトロ,東西線,賃貸アパート,1K,9.2
31-40分,36分,乗換1回,西葛西,139.859259,35.664631,東京メトロ,東西線,賃貸アパート,1K,9.37
31-40分,38分,乗換1回,葛西,139.872458,35.663554,東京メトロ,東西線,賃貸アパート,1K,8.65
31-40分,39分,乗換1回,落合,139.687284,35.710976,東京メトロ,東西線,賃貸アパート,1K,10.6
31-40分,31分,乗換1回,尾久,139.753846,35.74683,ＪＲ,宇都宮線〔東北本線〕・ＪＲ上野東京ライン,賃貸アパート,1K,8.15
31-40分,33分,乗換1回,等々力,139.647938,35.608369,東急,大井町線,賃貸アパート,1K,11.9
31-40分,39分,乗換1回,二子新地,139.622338,35.606994,東急,大井町線,賃貸アパート,1K,9.0
31-40分,33分,乗換1回,川崎大師,139.725946,35.535711,京急,大師線,賃貸アパート,1K,6.27
31-40分,34分,乗換1回,東門前,139.734298,35.536566,京急,大師線,賃貸アパート,1K,7.2
