所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
11-20分,16分,乗換1回,銀座,139.763965,35.671989,東京メトロ,銀座線,賃貸マンション,1LDK,23.5
11-20分,18分,乗換1回,三越前,139.773594,35.687101,東京メトロ,銀座線,賃貸マンション,1LDK,22.23
11-20分,19分,乗換1回,日本橋,139.773516,35.682078,東京メトロ,銀座線,賃貸マンション,1LDK,24.7
11-20分,19分,乗換1回,末広町,139.771713,35.702972,東京メトロ,銀座線,賃貸マンション,1LDK,18.43
11-20分,20分,乗換1回,赤坂見附,139.737047,35.677021,東京メトロ,銀座線,賃貸マンション,1LDK,36.51
11-20分,16分,乗換1回,芝公園,139.749824,35.654074,都営,三田線,賃貸マンション,1LDK,25.76
11-20分,18分,乗換1回,御成門,139.751535,35.661215,都営,三田線,賃貸マンション,1LDK,29.99
11-20分,19分,乗換1回,白金高輪,139.734104,35.642903,都営,三田線,賃貸マンション,1LDK,24.61
11-20分,16分,乗換1回,大崎広小路,139.722339,35.622244,東急,池上線,賃貸マンション,1LDK,18.5
11-20分,19分,乗換1回,荏原中延,139.712196,35.610056,東急,池上線,賃貸マンション,1LDK,19.06
11-20分,20分,乗換1回,虎ノ門ヒルズ,139.747778,35.667444,東京メトロ,日比谷線,賃貸マンション,1LDK,21.4
11-20分,19分,乗換1回,不動前,139.71469,35.626526,東急,目黒線,賃貸マンション,1LDK,22.97
11-20分,19分,乗換1回,赤羽橋,139.743642,35.655007,都営,大江戸線（環状部）,賃貸マンション,1LDK,27.88
11-20分,20分,乗換1回,築地市場,139.766915,35.664895,都営,大江戸線（環状部）,賃貸マンション,1LDK,39.15
11-20分,19分,乗換1回,白金台,139.726133,35.637917,東京メトロ,南北線,賃貸マンション,1LDK,28.13
11-20分,19分,乗換1回,品川シーサイド,139.749549,35.608524,不明,りんかい線,賃貸マンション,1LDK,24.25
11-20分,20分,乗換1回,竹芝,139.762037,35.654099,不明,ゆりかもめ,賃貸マンション,1LDK,32.86
11-20分,20分,乗換1回,天王洲アイル,139.750675,35.622908,不明,東京モノレール,賃貸マンション,1LDK,15.82
21-30分,21分,乗換1回,旗の台,139.702286,35.604923,東急,池上線,賃貸マンション,1LDK,19.1
21-30分,22分,乗換1回,長原,139.697881,35.60219,東急,池上線,賃貸マンション,1LDK,14.82
21-30分,24分,乗換1回,洗足池,139.690896,35.599648,東急,池上線,賃貸マンション,1LDK,14.42
21-30分,24分,乗換1回,蓮沼,139.708544,35.564173,東急,池上線,賃貸マンション,1LDK,15.82
21-30分,25分,乗換1回,石川台,139.685063,35.596888,東急,池上線,賃貸マンション,1LDK,16.23
21-30分,26分,乗換1回,池上,139.702822,35.572025,東急,池上線,賃貸マンション,1LDK,16.55
21-30分,27分,乗換1回,雪が谷大塚,139.681083,35.592038,東急,池上線,賃貸マンション,1LDK,13.62
21-30分,28分,乗換1回,御嶽山,139.682473,35.585236,東急,池上線,賃貸マンション,1LDK,16.43
21-30分,28分,乗換1回,千鳥町,139.69142,35.572983,東急,池上線,賃貸マンション,1LDK,15.72
21-30分,29分,乗換1回,久が原,139.685678,35.579499,東急,池上線,賃貸マンション,1LDK,16.29
21-30分,21分,乗換1回,銀座一丁目,139.767045,35.67435,東京メトロ,有楽町線,賃貸マンション,1LDK,24.57
21-30分,23分,乗換1回,新富町,139.773711,35.670462,東京メトロ,有楽町線,賃貸マンション,1LDK,22.05
21-30分,26分,乗換1回,麹町,139.737613,35.684006,東京メトロ,有楽町線,賃貸マンション,1LDK,29.21
21-30分,27分,乗換1回,豊洲,139.79621,35.654908,東京メトロ,有楽町線,賃貸マンション,1LDK,20.33
21-30分,29分,乗換1回,辰巳,139.81052,35.645576,東京メトロ,有楽町線,賃貸マンション,1LDK,19.5
21-30分,21分,乗換1回,御茶ノ水,139.764955,35.699605,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1LDK,20.42
21-30分,24分,乗換1回,水道橋,139.754312,35.702039,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1LDK,20.48
